年份,分数档,全市累计人数,市内六区累计人数
2023,776,4,4
2023,775,640,461
2023,774,770,552
2023,773,939,671
2023,772,1110,780
2023,771,1297,911
2023,770,1477,1039
2023,769,1705,1181
2023,768,1917,1317
2023,767,2136,1453
2023,766,2406,1630
2023,765,2682,1800
2023,764,2926,1936
2023,763,3250,2129
2023,762,3548,2317
2023,761,3854,2481
2023,760,4258,2712
2023,759,4608,2903
2023,758,4957,3122
2023,757,5350,3328
2023,756,5701,3522
2023,755,6100,3723
2023,754,6517,3944
2023,753,6954,4173
2023,752,7399,4411
2023,751,7828,4629
2023,750,8274,4854
2023,749,8763,5106
2023,748,9227,5345
2023,747,9682,5561
2023,746,10597,6017
2023,745,11049,6263
2023,744,11516,6503
2023,743,11982,6705
2023,742,12452,6929
2023,741,12958,7161
2023,740,13484,7403
2023,739,14016,7637
2023,738,14523,7858
2023,737,15065,8111
2023,736,15577,8369
2023,735,16143,8611
2023,734,16669,8834
2023,733,17217,9073
2023,732,17731,9299
2023,731,18276,9521
2023,730,18773,9730
2023,729,19347,9959
2023,728,19923,10205
2023,727,20482,10431
2023,726,21054,10644
2023,725,21638,10896
2023,724,22196,11116
2023,723,22720,11327
2023,722,23234,11533
2023,721,23809,11748
2023,720,24348,11937
2023,719,24885,12152
2023,718,25465,12378
2023,717,26048,12599
2023,716,26613,12804
2023,715,27138,13014
2023,714,27697,13227
2023,713,28220,13434
2023,712,28764,13631
2023,711,29286,13844
2023,710,29834,14030
2023,709,30363,14212
2023,708,30927,14424
2023,707,31490,14645
2023,706,32035,14828
2023,705,32591,15025
2023,704,33153,15239
2023,703,33668,15402
2023,702,34178,15568
2023,701,34730,15773
2023,700,35272,15962
2023,699,35751,16107
2023,698,36263,16297
2023,697,36794,16482
2023,696,37292,16623
2023,695,38265,16945
2023,694,38747,17102
2023,693,39263,17260
2023,692,39781,17443
2023,691,40263,17599
2023,690,40761,17761
2023,689,41222,17902
2023,688,41718,18077
2023,687,42165,18220
2023,686,42622,18366
2023,685,43080,18507
2023,684,43519,18645
2023,683,43949,18777
2023,682,44411,18914
2023,681,44860,19053
2023,680,45319,19201
2023,679,45730,19345
2023,678,46126,19472
2023,677,46527,19590
2023,676,46957,19723
2023,675,47360,19833
2023,674,47815,19959
2023,673,48276,20112
2023,672,48676,20226
2023,671,49084,20358
2023,670,49483,20454
2023,669,49888,20554
2023,668,50295,20686
2023,667,50702,20794
2023,666,51095,20892
2023,665,51497,21004
2023,664,51912,21125
2023,663,52287,21243
2023,662,52685,21358
2023,661,53066,21464
2023,660,53796,21676
2023,659,54161,21786
2023,658,54503,21876
2023,657,54858,21972
2023,656,55235,22073
2023,655,55612,22187
2023,654,55954,22269
2023,653,56299,22350
2023,652,56638,22446
2023,651,56986,22542
2023,650,57293,22622
2023,649,57615,22718
2023,648,58264,22897
2023,647,58584,23002
2023,646,58931,23105
2023,645,59253,23194
2023,644,59568,23282
2023,643,59892,23372
2023,642,60226,23456
2023,641,60509,23521
2023,640,60800,23595
