学校,行政区,属性,纬度WGS84,经度WGS84,2023录取分,2023位次,2024录取分,2024位次,2025录取分,2025位次
天津一中,和平区,市属,39.1127941,117.1883652,769.5,1477,772.25,1283,768.9,1088
耀华中学,和平区,市属,39.1180772,117.1940022,764.25,2682,768.25,2320,762.8,1982
第二十中学,和平区,区属,39.1135415,117.2072324,755.0,6100,760.75,5391,753.0,3962
第二南开中学,和平区,区属,39.1267514,117.17648,747.45,9227,754.75,8354,746.7,5472
第五十五中学,和平区,区属,39.1132831,117.175431,736.25,15065,747.5,12495,737.5,7732
双菱中学,和平区,民办,39.1201783,117.2012284,729.45,18773,743.25,14913,730.8,9513
第二十一中学,和平区,区属,39.1031973,117.1863043,722.0,23234,736.25,19454,726.15,18205
汇文中学,和平区,区属,39.1210806,117.1833546,718.0,25465,730.6,23166,722.25,20534
益中学校,和平区,民办,39.1028954,117.177104,716.4,26048,729.5,23777,716.05,24228
建华中学,和平区,民办,39.1219124,117.1796862,698.15,35751,711.45,34431,707.65,29807
嘉诚中学,和平区,民办,39.1466855,117.2107218,694.75,38265,704.75,38389,695.73,36950
新华中学,河西区,市属,39.1097957,117.2057589,760.0,4258,764.55,3638,758.25,2884
实验中学,河西区,市属,39.0973701,117.1846561,757.0,5350,762.5,4481,755.15,3491
第四中学,河西区,区属,39.0787207,117.2236638,751.5,7399,758.0,6821,747.9,5186
第四十一中学,河西区,区属,39.103368,117.1941674,710.5,29286,721.25,28651,708.5,15296
海河中学,河西区,区属,39.110849,117.2181663,738.4,14016,748.5,11869,735.75,8181
北师大天津附中,河西区,区属,39.0703765,117.2629592,714.5,27138,723.5,27435,714.25,13853
微山路中学,河西区,区属,39.0592451,117.2568084,693.25,38747,706.25,37271,695.15,18407
梅江中学,河西区,区属,39.0692718,117.2001941,678.25,45730,692.75,44664,683.0,20892
梧桐中学,河西区,区属,39.0570934,117.2134216,710.7,29286,721.8,28651,711.7,14482
第二新华中学,河西区,区属,39.038324,117.2480789,748.25,8763,754.74,8354,746.5,5521
第四十二中学,河西区,区属,39.093869,117.2199361,745.0,11049,752.5,9492,742.0,10427
觉民中学,河西区,区属,39.0947681,117.2128466,706.75,31490,733.75,21311,724.9,19663
卓越中学,河西区,区属,39.0800651,117.2209909,698.0,36263,716.31,31549,706.35,30390
景海道中学,河西区,区属,39.063276,117.237112,,,,,,
培杰中学,河西区,民办,39.0731968,117.2648101,667.25,50295,672.3,53958,649.25,60701
自立中学,河西区,民办,39.0952925,117.2132824,666.85,50702,644.05,64801,642.6,63692
南开翔宇学校,河西区,民办,39.0431075,117.2241882,703.0,33668,710.75,35016,704.25,30946
天明高级中学,河西区,民办,39.052,117.248,,,,,666.65,52647
华兰萨顿高级中学,河西区,民办,39.0775429,117.2109589,,,,,472.8,100244
明德致远高级中学,河西区,民办,39.092108,117.2204416,,,,,519.9,96926
